_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1622713,22671,BP-27340,197,Spadina Ave,Spadina Ave,East,Sullivan St,South,,10,,Ring,Existing,0,313117.252,4834515.36,-79.3968945,43.65053475,"{u'type': u'Point', u'coordinates': (-79.3968945075, 43.6505347456)}"
1622714,22672,BP-27343,197,Spadina Ave,Spadina Ave,East,Phoebe St,North,,10,,Ring,Existing,0,313125.697,4834491.127,-79.39679019,43.65031652,"{u'type': u'Point', u'coordinates': (-79.396790192, 43.6503165215)}"
1622715,22673,BP-27364,199,College St,Ln E Beverley S College,East,College St,South,,11,,Ring,Existing,0,313254.31,4835428.607,-79.39518116,43.65875365,"{u'type': u'Point', u'coordinates': (-79.3951811624, 43.6587536468)}"
1622716,22674,BP-27365,215,Spadina Ave,Spadina Ave,East,Sullivan St,South,,10,Chinatown,Ring,Existing,0,313111.738,4834541.73,-79.39696246,43.65077217,"{u'type': u'Point', u'coordinates': (-79.3969624563, 43.6507721727)}"
1622717,22675,BP-31786,20,Church Ave,Church Ave,North,Ln E Yonge N Mckee,East,,18,,Ring,Existing,0,311775.176,4848230.32,-79.41335397,43.77400036,"{u'type': u'Point', u'coordinates': (-79.4133539676, 43.7740003678)}"
1622718,22676,BP-31798,5515A,Yonge St,Yonge St,East,Olive Ave,South,,18,,Ring,Existing,0,311641.634,4848710.227,-79.41500672,43.77832133,"{u'type': u'Point', u'coordinates': (-79.4150067139, 43.7783213295)}"
1622719,22677,BP-31811,518,King St E,King St E,North,St Lawrence St,West,,13,,Ring,Existing,0,316326.687,4835171.576,-79.35709458,43.65639875,"{u'type': u'Point', u'coordinates': (-79.357094584, 43.6563987533)}"
1622720,22678,BP-31813,431,King St E,King St E,South,Pemberton St,West,,13,,Ring,Existing,0,315958.596,4834854.945,-79.36166462,43.65355426,"{u'type': u'Point', u'coordinates': (-79.3616646273, 43.6535542677)}"
1622721,22679,BP-31848,526,King St E,King St E,North,St Lawrence St,East,,13,,Ring,Existing,0,316362.908,4835201.396,-79.35664489,43.65666661,"{u'type': u'Point', u'coordinates': (-79.3566448865, 43.6566666106)}"
1622722,22680,BP-31864,340,King St E,King St E,North,Power St,West,,13,,Ring,Existing,0,315871.4,4834802.203,-79.36274669,43.65308082,"{u'type': u'Point', u'coordinates': (-79.3627466919, 43.6530808226)}"
1622723,22682,BP-31871,475,King St E,King St E,South,Wilkins Ave,East,,13,,Ring,Existing,0,316032.589,4834915.522,-79.36074606,43.65409843,"{u'type': u'Point', u'coordinates': (-79.3607460638, 43.6540984275)}"
1622724,22683,BP-31879,158,Eastern Ave,Eastern Ave,North,Rolling Mills Rd,East,,13,,Ring,Existing,0,316410.863,4834982.326,-79.35605506,43.65469395,"{u'type': u'Point', u'coordinates': (-79.3560550602, 43.6546939433)}"
1622725,22684,BP-31907,2070,Dundas St W,Dundas St W,North,Lynd Ave,East,,4,,Ring,Existing,0,308993.161,4834693.556,-79.44801772,43.65217343,"{u'type': u'Point', u'coordinates': (-79.4480177235, 43.6521734304)}"
1622726,22685,BP-31914,314,Roncesvalles Ave,Roncesvalles Ave,West,Constance St,North,,4,Roncesvalles Village,Ring,Existing,0,308791.004,4834438.677,-79.45052573,43.64988028,"{u'type': u'Point', u'coordinates': (-79.4505257297, 43.6498802857)}"
1622727,22686,BP-31925,2112,Dundas St W,Dundas St W,East,Golden Ave,East,,4,,Ring,Existing,0,308923.359,4834737.536,-79.44888272,43.6525697,"{u'type': u'Point', u'coordinates': (-79.4488827171, 43.6525697002)}"
1622728,22687,BP-31933,89,Howard Park Ave,Howard Park Ave,South,Sunnyside Ave,East,,4,,Ring,Existing,0,308631.03,4834579.6,-79.45250784,43.65114962,"{u'type': u'Point', u'coordinates': (-79.4525078388, 43.6511496251)}"
1622729,22688,BP-31935,89,Howard Park Ave,Howard Park Ave,South,Sunnyside Ave,East,,4,,Ring,Existing,0,308635.065,4834580.658,-79.45245781,43.65115913,"{u'type': u'Point', u'coordinates': (-79.4524578106, 43.6511591278)}"
1622730,22689,BP-31942,2160,Dundas St W,Dundas St W,East,Ritchie Ave,North,,4,,Ring,Existing,0,308819.394,4834802.372,-79.45017108,43.65315388,"{u'type': u'Point', u'coordinates': (-79.4501710882, 43.6531538811)}"
1622731,22690,BP-31946,2238,Dundas St W,Dundas St W,East,Roncesvalles Ave,North,,4,,Ring,Existing,0,308686.16,4834927.335,-79.4518219,43.65427942,"{u'type': u'Point', u'coordinates': (-79.4518219063, 43.6542794252)}"
1622732,22691,BP-31952,68,Howard Park Ave,Howard Park Ave,North,Roncesvalles Ave,West,,4,Roncesvalles Village,Ring,Existing,0,308715.76,4834617.389,-79.45145719,43.65148933,"{u'type': u'Point', u'coordinates': (-79.4514571921, 43.6514893362)}"
1622733,22692,BP-31967,382,Roncesvalles Ave,Roncesvalles Ave,West,Neepawa Ave,North,,4,Roncesvalles Village,Ring,Existing,0,308768.778,4834518.783,-79.45080067,43.65060146,"{u'type': u'Point', u'coordinates': (-79.4508006645, 43.6506014674)}"
1622734,22693,BP-30018,2014A,Eglinton Ave W,Eglinton Ave W,North,Nairn Ave,East,,8,Fairbank Village,Ring,Existing,0,308379.578,4839405.752,-79.45559299,43.69459263,"{u'type': u'Point', u'coordinates': (-79.4555929946, 43.6945926309)}"
1622735,22694,BP-30021,1661,Eglinton Ave W,Eglinton Ave W,South,Glenholme Ave,East,,12,York-Eglinton,Ring,Existing,0,309226.72,4839643.542,-79.4450817,43.69672848,"{u'type': u'Point', u'coordinates': (-79.4450816952, 43.6967284808)}"
1622736,22695,BP-30038,2508A,Eglinton Ave W,Eglinton Ave W,North,Kane Ave,North,,5,,Ring,Existing,0,307179.846,4839037.045,-79.47047808,43.6912786,"{u'type': u'Point', u'coordinates': (-79.4704780801, 43.6912786043)}"
1622737,22696,BP-30039,1951,Eglinton Ave W,Eglinton Ave W,South,Ennerdale Rd,East,,9,Fairbank Village,Ring,Existing,0,308574.007,4839447.139,-79.45318069,43.6949642,"{u'type': u'Point', u'coordinates': (-79.4531806867, 43.6949642047)}"
